Unnamed: 0,t_out,data,labels
0,0.0,0.8522727272727273,0
1,0.2048,0.8522727272727273,0
2,0.4096,0.8522727272727273,0
3,0.6144,0.8522727272727273,0
4,0.8192,0.8522727272727273,0
5,1.024,0.8522727272727273,0
6,1.2288,0.8522727272727273,0
7,1.4336,0.8465909090909091,0
8,1.6384,0.8465909090909091,0
9,1.8432,0.8465909090909091,0
10,2.048,0.8409090909090909,0
11,2.2528,0.8409090909090909,0
12,2.4576,0.8409090909090909,0
13,2.6624,0.8409090909090909,0
14,2.8672,0.8352272727272727,0
15,3.072,0.8295454545454546,0
16,3.2768,0.8238636363636364,0
17,3.4816,0.8238636363636364,0
18,3.6864,0.8238636363636364,0
19,3.8912,0.8181818181818182,0
20,4.096,0.8125,0
21,4.3008,0.8068181818181818,0
22,4.5056,0.8068181818181818,0
23,4.7104,0.8068181818181818,0
24,4.9152,0.8068181818181818,0
25,5.12,0.8011363636363636,0
26,5.3248,0.7954545454545454,0
27,5.5296,0.7897727272727273,0
28,5.7344,0.7897727272727273,0
29,5.9392,0.7897727272727273,0
30,6.144,0.7784090909090909,0
31,6.3488,0.7784090909090909,0
32,6.5536,0.7727272727272727,0
33,6.7584,0.7670454545454546,0
34,6.9632,0.7670454545454546,0
35,7.168,0.7670454545454546,0
36,7.3728,0.7670454545454546,0
37,7.5776,0.7613636363636364,0
38,7.7824,0.7556818181818182,0
39,7.9872,0.75,0
40,8.192,0.7443181818181818,0
41,8.3968,0.7386363636363636,0
42,8.6016,0.7386363636363636,0
43,8.8064,0.7386363636363636,0
44,9.0112,0.7386363636363636,0
45,9.216,0.7329545454545454,0
46,9.4208,0.7272727272727273,0
47,9.6256,0.7272727272727273,0
48,9.8304,0.7215909090909091,0
49,10.0352,0.7159090909090909,0
50,10.24,0.7102272727272727,0
51,10.4448,0.7045454545454546,0
52,10.6496,0.7045454545454546,0
53,10.8544,0.7045454545454546,0
54,11.0592,0.6988636363636364,0
55,11.264,0.6988636363636364,0
56,11.4688,0.6931818181818182,0
57,11.6736,0.6875,0
58,11.8784,0.6818181818181818,0
59,12.0832,0.6818181818181818,0
60,12.288,0.6761363636363636,0
61,12.4928,0.6761363636363636,0
62,12.6976,0.6761363636363636,0
63,12.9024,0.6704545454545454,0
64,13.1072,0.6704545454545454,0
65,13.312,0.6647727272727273,0
66,13.5168,0.6647727272727273,0
67,13.7216,0.6590909090909091,0
68,13.9264,0.6647727272727273,0
69,14.1312,0.6590909090909091,0
70,14.336,0.6590909090909091,0
71,14.5408,0.6590909090909091,0
72,14.7456,0.6590909090909091,0
73,14.9504,0.6590909090909091,0
74,15.1552,0.6477272727272727,0
75,15.36,0.6420454545454546,0
76,15.5648,0.6420454545454546,0
77,15.7696,0.6420454545454546,0
78,15.9744,0.6477272727272727,0
79,16.1792,0.6477272727272727,0
80,16.384,0.6363636363636364,0
81,16.5888,0.6363636363636364,0
82,16.7936,0.6363636363636364,0
83,16.9984,0.6306818181818182,0
84,17.2032,0.6363636363636364,0
85,17.408,0.625,0
86,17.6128,0.6193181818181818,0
87,17.8176,0.6193181818181818,0
88,18.0224,0.6193181818181818,0
89,18.2272,0.6193181818181818,0
90,18.432,0.6136363636363636,0
91,18.6368,0.6136363636363636,0
92,18.8416,0.6079545454545454,0
93,19.0464,0.6079545454545454,0
94,19.2512,0.6022727272727273,0
95,19.456,0.5965909090909091,0
96,19.6608,0.5909090909090909,0
97,19.8656,0.5909090909090909,0
98,20.0704,0.5852272727272727,0
99,20.2752,0.5852272727272727,0
100,20.48,0.5795454545454546,0
101,20.6848,0.5738636363636364,0
102,20.8896,0.5738636363636364,0
103,21.0944,0.5681818181818182,0
104,21.2992,0.5625,0
105,21.504,0.5681818181818182,0
106,21.7088,0.5681818181818182,0
107,21.9136,0.5681818181818182,0
108,22.1184,0.5625,0
109,22.3232,0.5568181818181818,0
110,22.528,0.5511363636363636,0
111,22.7328,0.5454545454545454,0
112,22.9376,0.5511363636363636,0
113,23.1424,0.5511363636363636,0
114,23.3472,0.5454545454545454,0
115,23.552,0.5397727272727273,0
116,23.7568,0.5340909090909091,0
117,23.9616,0.5284090909090909,0
118,24.1664,0.5284090909090909,0
119,24.3712,0.5227272727272727,0
120,24.576,0.5227272727272727,0
121,24.7808,0.5170454545454546,0
122,24.9856,0.5170454545454546,0
123,25.1904,0.5170454545454546,0
124,25.3952,0.5170454545454546,0
125,25.6,0.5113636363636364,0
126,25.8048,0.5056818181818182,0
127,26.0096,0.5,0
128,26.2144,0.5,0
129,26.4192,0.5,0
130,26.624,0.4943181818181818,0
131,26.8288,0.4943181818181818,0
132,27.0336,0.4943181818181818,0
133,27.2384,0.4886363636363636,0
134,27.4432,0.4829545454545455,0
135,27.648,0.4886363636363636,0
136,27.8528,0.4829545454545455,0
137,28.0576,0.4829545454545455,0
138,28.2624,0.4772727272727273,0
139,28.4672,0.4772727272727273,0
140,28.672,0.4715909090909091,0
141,28.8768,0.4715909090909091,0
142,29.0816,0.4715909090909091,0
143,29.2864,0.4715909090909091,0
144,29.4912,0.4602272727272727,0
145,29.696,0.4545454545454545,0
146,29.9008,0.4602272727272727,0
147,30.1056,0.4602272727272727,0
148,30.3104,0.4602272727272727,0
149,30.5152,0.4602272727272727,0
150,30.72,0.4602272727272727,0
151,30.9248,0.4545454545454545,0
152,31.1296,0.4545454545454545,0
153,31.3344,0.4488636363636364,0
154,31.5392,0.4431818181818182,0
155,31.744,0.4375,0
156,31.9488,0.4318181818181818,0
157,32.1536,0.4375,0
158,32.3584,0.4375,0
159,32.5632,0.4318181818181818,0
160,32.768,0.4261363636363636,0
161,32.9728,0.4261363636363636,0
162,33.1776,0.4204545454545455,0
163,33.3824,0.4147727272727273,0
164,33.5872,0.4147727272727273,0
165,33.792,0.4261363636363636,0
166,33.9968,0.4261363636363636,0
167,34.2016,0.4261363636363636,0
168,34.4064,0.4204545454545455,0
169,34.6112,0.4318181818181818,0
170,34.816,0.4375,0
171,35.0208,0.4375,0
172,35.2256,0.4375,0
173,35.4304,0.4375,0
174,35.6352,0.4375,0
175,35.84,0.4318181818181818,0
176,36.0448,0.4375,0
177,36.2496,0.4318181818181818,0
178,36.4544,0.4375,0
179,36.6592,0.4318181818181818,0
180,36.864,0.4204545454545455,0
181,37.0688,0.4204545454545455,0
182,37.2736,0.4147727272727273,0
183,37.4784,0.4147727272727273,0
184,37.6832,0.4090909090909091,0
185,37.888,0.4034090909090909,0
186,38.0928,0.4034090909090909,0
187,38.2976,0.3977272727272727,0
188,38.5024,0.3863636363636364,0
189,38.7072,0.3806818181818182,0
190,38.912,0.3806818181818182,0
191,39.1168,0.375,0
192,39.3216,0.375,0
193,39.5264,0.3693181818181818,0
194,39.7312,0.375,0
195,39.936,0.3693181818181818,0
196,40.1408,0.3636363636363636,0
197,40.3456,0.3636363636363636,0
198,40.5504,0.3579545454545455,0
199,40.7552,0.3522727272727273,0
200,40.96,0.3522727272727273,0
201,41.1648,0.3409090909090909,0
202,41.3696,0.3465909090909091,0
203,41.5744,0.3352272727272727,0
204,41.7792,0.3295454545454545,0
205,41.984,0.3352272727272727,0
206,42.1888,0.3352272727272727,0
207,42.3936,0.3352272727272727,0
208,42.5984,0.3238636363636364,0
209,42.8032,0.3238636363636364,0
210,43.008,0.3125,0
211,43.2128,0.3125,0
212,43.4176,0.3068181818181818,0
213,43.6224,0.3011363636363636,0
214,43.8272,0.3068181818181818,0
215,44.032,0.3068181818181818,0
216,44.2368,0.3011363636363636,0
217,44.4416,0.3011363636363636,0
218,44.6464,0.2954545454545455,0
219,44.8512,0.2954545454545455,0
220,45.056,0.2897727272727273,0
221,45.2608,0.2840909090909091,0
222,45.4656,0.2840909090909091,0
223,45.6704,0.2840909090909091,0
224,45.8752,0.2840909090909091,0
225,46.08,0.2840909090909091,0
226,46.2848,0.2840909090909091,0
227,46.4896,0.2784090909090909,0
228,46.6944,0.2840909090909091,0
229,46.8992,0.2784090909090909,0
230,47.104,0.2784090909090909,0
231,47.3088,0.2727272727272727,0
232,47.5136,0.2727272727272727,0
233,47.7184,0.2727272727272727,0
234,47.9232,0.2727272727272727,0
235,48.128,0.2727272727272727,0
236,48.3328,0.2670454545454545,0
237,48.5376,0.2670454545454545,0
238,48.7424,0.2670454545454545,0
239,48.9472,0.2613636363636364,0
240,49.152,0.2613636363636364,0
241,49.3568,0.2613636363636364,0
242,49.5616,0.2613636363636364,0
243,49.7664,0.2613636363636364,0
244,49.9712,0.2556818181818182,0
245,50.176,0.2556818181818182,0
246,50.3808,0.2556818181818182,0
247,50.5856,0.2613636363636364,0
248,50.7904,0.2613636363636364,0
249,50.9952,0.2613636363636364,0
250,51.2,0.2613636363636364,0
251,51.4048,0.2556818181818182,0
252,51.6096,0.2556818181818182,0
253,51.8144,0.2556818181818182,0
254,52.0192,0.25,0
255,52.224,0.25,0
256,52.4288,0.2556818181818182,0
257,52.6336,0.2556818181818182,0
258,52.8384,0.2556818181818182,0
259,53.0432,0.2556818181818182,0
260,53.248,0.25,0
261,53.4528,0.25,0
262,53.6576,0.2443181818181818,0
263,53.8624,0.2329545454545454,0
264,54.0672,0.2329545454545454,0
265,54.272,0.2386363636363636,0
266,54.4768,0.2386363636363636,0
267,54.6816,0.25,0
268,54.8864,0.2443181818181818,0
269,55.0912,0.2329545454545454,0
270,55.296,0.2329545454545454,0
271,258.048,0.2954545454545455,0
272,258.2528,0.3238636363636364,0
273,258.4576,0.3409090909090909,0
274,258.6624,0.3579545454545455,0
275,258.8672,0.3806818181818182,0
276,259.072,0.4147727272727273,0
277,259.2768,0.4602272727272727,0
278,259.4816,0.5,0
279,259.6864,0.5284090909090909,0
280,259.8912,0.5454545454545454,0
281,260.096,0.5511363636363636,0
282,260.3008,0.5568181818181818,0
283,260.5056,0.5568181818181818,0
284,260.7104,0.5568181818181818,0
285,260.9152,0.5511363636363636,0
286,261.12,0.5511363636363636,0
287,261.3248,0.5454545454545454,0
288,261.5296,0.5397727272727273,0
289,261.7344,0.5340909090909091,0
290,261.9392,0.5284090909090909,0
291,262.144,0.5170454545454546,0
292,262.3488,0.5056818181818182,0
293,262.5536,0.4886363636363636,0
294,262.7584,0.4829545454545455,0
295,262.9632,0.4772727272727273,0
296,263.168,0.4715909090909091,0
297,263.3728,0.4659090909090909,0
298,263.5776,0.4602272727272727,0
299,263.7824,0.4488636363636364,0
300,263.9872,0.4431818181818182,0
301,264.192,0.4318181818181818,0
302,264.3968,0.4261363636363636,0
303,264.6016,0.4147727272727273,0
304,264.8064,0.4090909090909091,0
305,265.0112,0.3977272727272727,0
306,265.216,0.4034090909090909,0
307,265.4208,0.3920454545454545,0
308,265.6256,0.3863636363636364,0
309,265.8304,0.3806818181818182,0
310,266.0352,0.3693181818181818,0
311,266.24,0.3693181818181818,0
312,266.4448,0.3693181818181818,0
313,266.6496,0.375,0
314,266.8544,0.3693181818181818,0
315,267.0592,0.3579545454545455,0
316,267.264,0.3465909090909091,0
317,267.4688,0.3409090909090909,0
318,267.6736,0.3352272727272727,0
319,267.8784,0.3409090909090909,0
320,268.0832,0.3409090909090909,0
321,268.288,0.3409090909090909,0
322,268.4928,0.3409090909090909,0
323,268.6976,0.3409090909090909,0
324,268.9024,0.3352272727272727,0
325,269.1072,0.3295454545454545,0
326,269.312,0.3181818181818182,0
327,269.5168,0.3181818181818182,0
328,269.7216,0.3181818181818182,0
