Time / s	[chan  0]    	[chan  1]    	
0000000.2	 .105991  	-.153392  	
0000000.4	 .105976  	-.153396  	
0000000.6	 .105984  	-.153399  	
0000000.8	 .106030  	-.153411  	
0000001.0	 .106051  	-.153392  	
0000001.2	 .106053  	-.153387  	
0000001.4	 .106038  	-.153389  	
0000001.6	 .106037  	-.153403  	
0000001.8	 .106034  	-.153420  	
0000002.0	 .106082  	-.153411  	
0000002.2	 .106118  	-.153404  	
0000002.4	 .106118  	-.153427  	
0000002.6	 .106115  	-.153447  	
0000002.8	 .106106  	-.153456  	
0000003.0	 .106113  	-.153451  	
0000003.2	 .106148  	-.153403  	
0000003.4	 .106180  	-.153401  	
0000003.6	 .106173  	-.153421  	
0000003.8	 .106163  	-.153411  	
0000004.0	 .106151  	-.153425  	
0000004.2	 .106146  	-.153418  	
0000004.4	 .106186  	-.153401  	
0000004.6	 .106208  	-.153399  	
0000004.8	 .106201  	-.153408  	
0000005.0	 .106194  	-.153425  	
0000005.2	 .106196  	-.153421  	
0000005.4	 .106182  	-.153435  	
0000005.6	 .106220  	-.153423  	
0000005.8	 .106241  	-.153415  	
0000006.0	 .106234  	-.153427  	
0000006.2	 .106266  	-.153401  	
0000006.4	 .106282  	-.153425  	
0000006.6	 .106275  	-.153446  	
0000006.8	 .106323  	-.153425  	
0000007.0	 .106335  	-.153456  	
0000007.2	 .106320  	-.153477  	
0000007.4	 .106287  	-.153499  	
0000007.6	 .106289  	-.153515  	
0000007.8	 .106301  	-.153499  	
0000008.0	 .106363  	-.153494  	
0000008.2	 .106394  	-.153485  	
0000008.4	 .106391  	-.153490  	
0000008.6	 .106382  	-.153496  	
0000008.8	 .106366  	-.153511  	
0000009.0	 .106342  	-.153530  	
0000009.2	 .106361  	-.153506  	
0000009.4	 .106382  	-.153487  	
0000009.6	 .106398  	-.153487  	
0000009.8	 .106394  	-.153494  	
0000010.0	 .106406  	-.153490  	
0000010.2	 .106403  	-.153480  	
0000010.4	 .106423  	-.153466  	
0000010.6	 .106435  	-.153461  	
0000010.8	 .106434  	-.153444  	
0000011.0	 .106437  	-.153434  	
0000011.2	 .106425  	-.153425  	
0000011.4	 .106435  	-.153421  	
0000011.6	 .106451  	-.153389  	
0000011.8	 .106478  	-.153418  	
0000012.0	 .106485  	-.153425  	
0000012.2	 .106477  	-.153397  	
0000012.4	 .106478  	-.153335  	
0000012.6	 .106483  	-.153342  	
0000012.8	 .106521  	-.153330  	
0000013.0	 .106556  	-.153346  	
0000013.2	 .106556  	-.153373  	
0000013.4	 .106542  	-.153394  	
0000013.6	 .106523  	-.153408  	
0000013.8	 .106499  	-.153411  	
0000014.0	 .106525  	-.153372  	
0000014.2	 .106568  	-.153380  	
0000014.4	 .106585  	-.153373  	
0000014.6	 .106594  	-.153378  	
0000014.8	 .106585  	-.153404  	
0000015.0	 .106559  	-.153439  	
0000015.2	 .106590  	-.153440  	
0000015.4	 .106611  	-.153432  	
