Time / s	[chan  0]    	[chan  1]    	
0000000.2	-.019834  	-.050612  	
0000000.4	-.019839  	-.050595  	
0000000.6	-.019813  	-.050574  	
0000000.8	-.019820  	-.050598  	
0000001.0	-.019801  	-.050590  	
0000001.2	-.019755  	-.050595  	
0000001.4	-.019735  	-.050576  	
0000001.6	-.019758  	-.050579  	
0000001.8	-.019725  	-.050567  	
0000002.0	-.019705  	-.050561  	
0000002.2	-.019670  	-.050550  	
0000002.4	-.019625  	-.050588  	
0000002.6	-.019596  	-.050619  	
0000002.8	-.019596  	-.050634  	
0000003.0	-.019579  	-.050640  	
0000003.2	-.019600  	-.050669  	
0000003.4	-.019577  	-.050626  	
0000003.6	-.019517  	-.050603  	
0000003.8	-.019486  	-.050614  	
0000004.0	-.019491  	-.050614  	
0000004.2	-.019451  	-.050590  	
0000004.4	-.019424  	-.050604  	
0000004.6	-.019414  	-.050581  	
0000004.8	-.019377  	-.050571  	
0000005.0	-.019358  	-.050564  	
0000005.2	-.019353  	-.050588  	
0000005.4	-.019346  	-.050595  	
0000005.6	-.019339  	-.050619  	
0000005.8	-.019333  	-.050591  	
0000006.0	-.019269  	-.050573  	
0000006.2	-.019224  	-.050592  	
0000006.4	-.019224  	-.050624  	
0000006.6	-.019215  	-.050579  	
0000006.8	-.019181  	-.050576  	
0000007.0	-.019188  	-.050583  	
0000007.2	-.019159  	-.050581  	
0000007.4	-.019112  	-.050600  	
0000007.6	-.019062  	-.050650  	
0000007.8	-.019086  	-.050642  	
0000008.0	-.019057  	-.050652  	
0000008.2	-.019050  	-.050645  	
0000008.4	-.019000  	-.050623  	
0000008.6	-.018964  	-.050607  	
0000008.8	-.018945  	-.050624  	
0000009.0	-.018969  	-.050610  	
0000009.2	-.018931  	-.050610  	
0000009.4	-.018933  	-.050619  	
0000009.6	-.018919  	-.050619  	
0000009.8	-.018874  	-.050612  	
0000010.0	-.018826  	-.050626  	
0000010.2	-.018861  	-.050604  	
0000010.4	-.018840  	-.050619  	
0000010.6	-.018823  	-.050569  	
0000010.8	-.018775  	-.050536  	
0000011.0	-.018737  	-.050543  	
0000011.2	-.018721  	-.050569  	
0000011.4	-.018736  	-.050555  	
0000011.6	-.018702  	-.050573  	
0000011.8	-.018702  	-.050617  	
0000012.0	-.018682  	-.050624  	
0000012.2	-.018635  	-.050600  	
0000012.4	-.018573  	-.050591  	
0000012.6	-.018588  	-.050614  	
0000012.8	-.018571  	-.050614  	
0000013.0	-.018554  	-.050593  	
0000013.2	-.018523  	-.050595  	
0000013.4	-.018501  	-.050595  	
0000013.6	-.018461  	-.050622  	
0000013.8	-.018468  	-.050654  	
0000014.0	-.018445  	-.050683  	
0000014.2	-.018430  	-.050707  	
0000014.4	-.018423  	-.050721  	
0000014.6	-.018373  	-.050679  	
0000014.8	-.018311  	-.050642  	
0000015.0	-.018313  	-.050681  	
0000015.2	-.018325  	-.050665  	
0000015.4	-.018308  	-.050605  	
0000015.6	-.018284  	-.050562  	
0000015.8	-.018263  	-.050526  	
0000016.0	-.018220  	-.050552  	
0000016.2	-.018185  	-.050573  	
0000016.4	-.018168  	-.050573  	
0000016.6	-.018137  	-.050583  	
0000016.8	-.018135  	-.050600  	
0000017.0	-.018113  	-.050612  	
0000017.2	-.018051  	-.050619  	
0000017.4	-.018024  	-.050640  	
0000017.6	-.018058  	-.050650  	
0000017.8	-.018024  	-.050669  	
0000018.0	-.017993  	-.050666  	
0000018.2	-.017965  	-.050619  	
0000018.4	-.017920  	-.050629  	
0000018.6	-.017892  	-.050640  	
0000018.8	-.017877  	-.050643  	
0000019.0	-.017868  	-.050662  	
0000019.2	-.017869  	-.050697  	
0000019.4	-.017838  	-.050686  	
0000019.6	-.017772  	-.050707  	
0000019.8	-.017741  	-.050748  	
0000020.0	-.017765  	-.050769  	
0000020.2	-.017732  	-.050767  	
0000020.4	-.017698  	-.050778  	
0000020.6	-.017688  	-.050774  	
0000020.8	-.017636  	-.050789  	
0000021.0	-.017601  	-.050812  	
0000021.2	-.017596  	-.050831  	
0000021.4	-.017572  	-.050805  	
0000021.6	-.017582  	-.050824  	
0000021.8	-.017564  	-.050808  	
0000022.0	-.017500  	-.050778  	
0000022.2	-.017452  	-.050740  	
0000022.4	-.017462  	-.050728  	
0000022.6	-.017450  	-.050674  	
0000022.8	-.017443  	-.050673  	
0000023.0	-.017421  	-.050657  	
0000023.2	-.017384  	-.050640  	
0000023.4	-.017340  	-.050619  	
0000023.6	-.017319  	-.050597  	
0000023.8	-.017279  	-.050585  	
0000024.0	-.017288  	-.050598  	
0000024.2	-.017260  	-.050597  	
0000024.4	-.017241  	-.050595  	
0000024.6	-.017183  	-.050612  	
0000024.8	-.017178  	-.050619  	
0000025.0	-.017188  	-.050610  	
0000025.2	-.017147  	-.050604  	
