Time / s	[chan  0]    	[chan  1]    	
0000000.2	 .012876  	-.029426  	
0000000.4	 .012875  	-.029428  	
0000000.6	 .012875  	-.029448  	
0000000.8	 .013365  	-.029462  	
0000001.0	 .013432  	-.029479  	
0000001.2	 .013335  	-.029534  	
0000001.4	 .013372  	-.029583  	
0000001.6	 .013397  	-.029612  	
0000001.8	 .013430  	-.029662  	
0000002.0	 .013890  	-.029698  	
0000002.2	 .013916  	-.029731  	
0000002.4	 .013770  	-.029741  	
0000002.6	 .013771  	-.029748  	
0000002.8	 .013828  	-.029764  	
0000003.0	 .013856  	-.029767  	
0000003.2	 .014076  	-.029802  	
0000003.4	 .014161  	-.029824  	
0000003.6	 .014040  	-.029851  	
0000003.8	 .014069  	-.029871  	
0000004.0	 .014117  	-.029898  	
0000004.2	 .014129  	-.029914  	
0000004.4	 .014240  	-.029889  	
0000004.6	 .014393  	-.029912  	
0000004.8	 .014338  	-.029941  	
0000005.0	 .014409  	-.029939  	
0000005.2	 .014493  	-.029960  	
0000005.4	 .014505  	-.030000  	
0000005.6	 .014598  	-.030034  	
0000005.8	 .014706  	-.030058  	
0000006.0	 .014632  	-.030094  	
0000006.2	 .014696  	-.030099  	
0000006.4	 .014758  	-.030060  	
0000006.6	 .014784  	-.030070  	
0000006.8	 .014884  	-.030084  	
0000007.0	 .015051  	-.030098  	
0000007.2	 .014980  	-.030110  	
0000007.4	 .015013  	-.030132  	
0000007.6	 .015073  	-.030144  	
0000007.8	 .015090  	-.030153  	
0000008.0	 .015237  	-.030144  	
0000008.2	 .015378  	-.030150  	
0000008.4	 .015303  	-.030165  	
0000008.6	 .015349  	-.030165  	
0000008.8	 .015418  	-.030158  	
0000009.0	 .015457  	-.030189  	
0000009.2	 .015516  	-.030213  	
0000009.4	 .015652  	-.030256  	
0000009.6	 .015581  	-.030254  	
0000009.8	 .015642  	-.030261  	
0000010.0	 .015702  	-.030273  	
0000010.2	 .015728  	-.030304  	
0000010.4	 .015802  	-.030334  	
0000010.6	 .015945  	-.030386  	
0000010.8	 .015873  	-.030425  	
0000011.0	 .015919  	-.030444  	
0000011.2	 .015967  	-.030477  	
0000011.4	 .016003  	-.030454  	
0000011.6	 .016115  	-.030425  	
0000011.8	 .016263  	-.030468  	
0000012.0	 .016164  	-.030530  	
0000012.2	 .016150  	-.030559  	
0000012.4	 .016212  	-.030566  	
0000012.6	 .016238  	-.030606  	
0000012.8	 .016333  	-.030630  	
0000013.0	 .016465  	-.030658  	
0000013.2	 .016432  	-.030678  	
0000013.4	 .016477  	-.030656  	
0000013.6	 .016546  	-.030680  	
0000013.8	 .016600  	-.030664  	
0000014.0	 .016565  	-.030685  	
0000014.2	 .016592  	-.030718  	
0000014.4	 .016643  	-.030746  	
0000014.6	 .016739  	-.030737  	
0000014.8	 .016797  	-.030742  	
0000015.0	 .016840  	-.030761  	
0000015.2	 .016794  	-.030732  	
0000015.4	 .016811  	-.030746  	
0000015.6	 .016892  	-.030776  	
0000015.8	 .016980  	-.030821  	
0000016.0	 .017032  	-.030861  	
0000016.2	 .017068  	-.030859  	
0000016.4	 .017068  	-.030890  	
0000016.6	 .017104  	-.030904  	
0000016.8	 .017169  	-.030904  	
0000017.0	 .017218  	-.030928  	
0000017.2	 .017263  	-.030952  	
0000017.4	 .017301  	-.030966  	
0000017.6	 .017323  	-.030982  	
0000017.8	 .017361  	-.031019  	
0000018.0	 .017433  	-.031030  	
0000018.2	 .017483  	-.031021  	
0000018.4	 .017531  	-.031047  	
0000018.6	 .017561  	-.031074  	
0000018.8	 .017566  	-.031047  	
0000019.0	 .017607  	-.031049  	
0000019.2	 .017676  	-.031042  	
0000019.4	 .017750  	-.030966  	
0000019.6	 .017797  	-.030994  	
0000019.8	 .017824  	-.030993  	
0000020.0	 .017819  	-.031009  	
0000020.2	 .017829  	-.031040  	
0000020.4	 .017893  	-.031074  	
0000020.6	 .017964  	-.031112  	
0000020.8	 .018010  	-.031135  	
0000021.0	 .018038  	-.031145  	
0000021.2	 .018038  	-.031166  	
0000021.4	 .018055  	-.031181  	
0000021.6	 .018112  	-.031204  	
0000021.8	 .018182  	-.031214  	
0000022.0	 .018239  	-.031204  	
0000022.2	 .018274  	-.031209  	
0000022.4	 .018279  	-.031222  	
0000022.6	 .018281  	-.031254  	
0000022.8	 .018360  	-.031281  	
0000023.0	 .018449  	-.031312  	
0000023.2	 .018510  	-.031333  	
0000023.4	 .018542  	-.031357  	
0000023.6	 .018529  	-.031357  	
0000023.8	 .018513  	-.031378  	
0000024.0	 .018618  	-.031402  	
0000024.2	 .018694  	-.031417  	
0000024.4	 .018754  	-.031419  	
0000024.6	 .018799  	-.031426  	
0000024.8	 .018759  	-.031421  	
0000025.0	 .018706  	-.031443  	
0000025.2	 .018780  	-.031478  	
0000025.4	 .018902  	-.031512  	
0000025.6	 .018966  	-.031517  	
0000025.8	 .019023  	-.031543  	
0000026.0	 .019030  	-.031551  	
0000026.2	 .018988  	-.031522  	
0000026.4	 .019045  	-.031545  	
0000026.6	 .019180  	-.031486  	
0000026.8	 .019236  	-.031519  	
0000027.0	 .019266  	-.031534  	
0000027.2	 .019276  	-.031591  	
0000027.4	 .019273  	-.031617  	
0000027.6	 .019323  	-.031613  	
0000027.8	 .019440  	-.031636  	
0000028.0	 .019500  	-.031646  	
0000028.2	 .019547  	-.031681  	
0000028.4	 .019557  	-.031708  	
0000028.6	 .019538  	-.031738  	
0000028.8	 .019602  	-.031756  	
0000029.0	 .019695  	-.031760  	
0000029.2	 .019750  	-.031774  	
0000029.4	 .019779  	-.031777  	
0000029.6	 .019782  	-.031798  	
0000029.8	 .019798  	-.031791  	
0000030.0	 .019877  	-.031781  	
0000030.2	 .019969  	-.031791  	
0000030.4	 .020022  	-.031829  	
0000030.6	 .020043  	-.031851  	
0000030.8	 .020038  	-.031860  	
0000031.0	 .020029  	-.031889  	
0000031.2	 .020082  	-.031919  	
0000031.4	 .020155  	-.031931  	
0000031.6	 .020222  	-.031932  	
0000031.8	 .020263  	-.031939  	
0000032.0	 .020294  	-.031972  	
0000032.2	 .020301  	-.031958  	
0000032.4	 .020361  	-.031965  	
0000032.6	 .020406  	-.031981  	
0000032.8	 .020451  	-.031980  	
0000033.0	 .020491  	-.031991  	
0000033.2	 .020480  	-.032015  	
0000033.4	 .020501  	-.032036  	
0000033.6	 .020540  	-.032051  	
0000033.8	 .020614  	-.032061  	
0000034.0	 .020656  	-.032058  	
0000034.2	 .020680  	-.032049  	
0000034.4	 .020685  	-.032061  	
0000034.6	 .020682  	-.032065  	
0000034.8	 .020719  	-.032070  	
0000035.0	 .020804  	-.032086  	
0000035.2	 .020850  	-.032079  	
0000035.4	 .020859  	-.032084  	
0000035.6	 .020882  	-.032084  	
0000035.8	 .020868  	-.032108  	
0000036.0	 .020913  	-.032106  	
0000036.2	 .020983  	-.032094  	
0000036.4	 .021037  	-.032082  	
0000036.6	 .021095  	-.032079  	
0000036.8	 .021100  	-.032070  	
0000037.0	 .021117  	-.032063  	
0000037.2	 .021147  	-.032066  	
0000037.4	 .021200  	-.032085  	
0000037.6	 .021226  	-.032086  	
0000037.8	 .021250  	-.032086  	
0000038.0	 .021278  	-.032070  	
0000038.2	 .021316  	-.032058  	
0000038.4	 .021352  	-.032067  	
0000038.6	 .021421  	-.032073  	
0000038.8	 .021455  	-.032058  	
