Time / s	[chan  0]    	[chan  1]    	
0000000.2	-.012549  	-.103253  	
0000000.4	-.012570  	-.103274  	
0000000.6	-.012560  	-.103273  	
0000000.8	-.012567  	-.103281  	
0000001.0	-.012574  	-.103290  	
0000001.2	-.012627  	-.103350  	
0000001.4	-.012646  	-.103360  	
0000001.6	-.012634  	-.103345  	
0000001.8	-.012642  	-.103353  	
0000002.0	-.012655  	-.103395  	
0000002.2	-.012630  	-.103405  	
0000002.4	-.012670  	-.103434  	
0000002.6	-.012710  	-.103459  	
0000002.8	-.012718  	-.103464  	
0000003.0	-.012746  	-.103462  	
0000003.2	-.012842  	-.103484  	
0000003.4	-.012892  	-.103429  	
0000003.6	-.012946  	-.103403  	
0000003.8	-.013054  	-.103405  	
0000004.0	-.013068  	-.103381  	
0000004.2	-.013021  	-.103376  	
0000004.4	-.013003  	-.103374  	
0000004.6	-.012937  	-.103364  	
0000004.8	-.012906  	-.103357  	
0000005.0	-.012949  	-.103352  	
0000005.2	-.012959  	-.103340  	
0000005.4	-.012906  	-.103285  	
0000005.6	-.012825  	-.103271  	
0000005.8	-.012799  	-.103298  	
0000006.0	-.012785  	-.103290  	
0000006.2	-.012751  	-.103312  	
0000006.4	-.012767  	-.103371  	
0000006.6	-.012837  	-.103359  	
0000006.8	-.012884  	-.103316  	
0000007.0	-.012913  	-.103324  	
0000007.2	-.012887  	-.103328  	
0000007.4	-.012887  	-.103393  	
0000007.6	-.012928  	-.103467  	
0000007.8	-.012946  	-.103517  	
0000008.0	-.012865  	-.103510  	
0000008.2	-.012870  	-.103509  	
0000008.4	-.012872  	-.103440  	
0000008.6	-.012810  	-.103395  	
0000008.8	-.012741  	-.103402  	
0000009.0	-.012742  	-.103464  	
0000009.2	-.012746  	-.103493  	
0000009.4	-.012717  	-.103510  	
0000009.6	-.012736  	-.103502  	
0000009.8	-.012723  	-.103486  	
0000010.0	-.012675  	-.103478  	
0000010.2	-.012667  	-.103443  	
0000010.4	-.012636  	-.103398  	
0000010.6	-.012617  	-.103374  	
0000010.8	-.012620  	-.103365  	
0000011.0	-.012699  	-.103395  	
0000011.2	-.012746  	-.103365  	
0000011.4	-.012734  	-.103371  	
0000011.6	-.012770  	-.103385  	
0000011.8	-.012763  	-.103345  	
0000012.0	-.012739  	-.103331  	
0000012.2	-.012770  	-.103355  	
0000012.4	-.012816  	-.103395  	
0000012.6	-.012842  	-.103427  	
0000012.8	-.012880  	-.103415  	
0000013.0	-.012909  	-.103436  	
0000013.2	-.012923  	-.103429  	
0000013.4	-.012918  	-.103431  	
0000013.6	-.012961  	-.103452  	
0000013.8	-.013006  	-.103417  	
0000014.0	-.013013  	-.103429  	
0000014.2	-.013075  	-.103472  	
0000014.4	-.013127  	-.103503  	
0000014.6	-.013125  	-.103539  	
0000014.8	-.013168  	-.103605  	
0000015.0	-.013195  	-.103629  	
0000015.2	-.013211  	-.103613  	
0000015.4	-.013225  	-.103596  	
0000015.6	-.013283  	-.103631  	
0000015.8	-.013309  	-.103645  	
0000016.0	-.013318  	-.103650  	
0000016.2	-.013314  	-.103703  	
0000016.4	-.013300  	-.103701  	
0000016.6	-.013245  	-.103677  	
0000016.8	-.013254  	-.103681  	
0000017.0	-.013252  	-.103629  	
0000017.2	-.013254  	-.103636  	
0000017.4	-.013269  	-.103650  	
0000017.6	-.013271  	-.103652  	
0000017.8	-.013209  	-.103619  	
0000018.0	-.013180  	-.103591  	
0000018.2	-.013177  	-.103562  	
0000018.4	-.013206  	-.103540  	
0000018.6	-.013209  	-.103536  	
0000018.8	-.013280  	-.103546  	
0000019.0	-.013297  	-.103543  	
0000019.2	-.013325  	-.103589  	
0000019.4	-.013344  	-.103638  	
0000019.6	-.013354  	-.103684  	
0000019.8	-.013332  	-.103677  	
0000020.0	-.013349  	-.103674  	
0000020.2	-.013362  	-.103567  	
0000020.4	-.013269  	-.103500  	
0000020.6	-.013245  	-.103500  	
0000020.8	-.013250  	-.103576  	
0000021.0	-.013264  	-.103652  	
0000021.2	-.013266  	-.103693  	
0000021.4	-.013237  	-.103683  	
0000021.6	-.013161  	-.103636  	
0000021.8	-.013106  	-.103552  	
0000022.0	-.013106  	-.103500  	
0000022.2	-.013149  	-.103486  	
0000022.4	-.013149  	-.103524  	
0000022.6	-.013196  	-.103524  	
0000022.8	-.013180  	-.103514  	
0000023.0	-.013137  	-.103528  	
0000023.2	-.013151  	-.103538  	
0000023.4	-.013152  	-.103548  	
0000023.6	-.013103  	-.103514  	
0000023.8	-.013140  	-.103498  	
0000024.0	-.013166  	-.103489  	
0000024.2	-.013190  	-.103476  	
0000024.4	-.013242  	-.103471  	
0000024.6	-.013292  	-.103489  	
0000024.8	-.013294  	-.103462  	
0000025.0	-.013285  	-.103452  	
0000025.2	-.013285  	-.103493  	
0000025.4	-.013283  	-.103514  	
0000025.6	-.013268  	-.103517  	
0000025.8	-.013335  	-.103598  	
0000026.0	-.013376  	-.103644  	
0000026.2	-.013371  	-.103675  	
0000026.4	-.013393  	-.103679  	
0000026.6	-.013421  	-.103675  	
0000026.8	-.013449  	-.103651  	
0000027.0	-.013555  	-.103695  	
0000027.2	-.013638  	-.103741  	
0000027.4	-.013672  	-.103727  	
0000027.6	-.013633  	-.103722  	
0000027.8	-.013611  	-.103760  	
0000028.0	-.013548  	-.103731  	
0000028.2	-.013526  	-.103720  	
0000028.4	-.013562  	-.103724  	
0000028.6	-.013598  	-.103682  	
0000028.8	-.013569  	-.103679  	
0000029.0	-.013585  	-.103700  	
0000029.2	-.013564  	-.103672  	
0000029.4	-.013516  	-.103629  	
0000029.6	-.013512  	-.103663  	
0000029.8	-.013514  	-.103686  	
0000030.0	-.013518  	-.103650  	
0000030.2	-.013533  	-.103644  	
0000030.4	-.013616  	-.103663  	
0000030.6	-.013659  	-.103665  	
0000030.8	-.013654  	-.103694  	
0000031.0	-.013669  	-.103745  	
0000031.2	-.013652  	-.103765  	
0000031.4	-.013612  	-.103781  	
