Time / s	[chan  0]    	[chan  1]    	
0000000.2	 .005729  	 .013347  	
0000000.4	 .005558  	 .013120  	
0000000.6	 .005407  	 .012919  	
0000000.8	 .005217  	 .012748  	
0000001.0	 .005107  	 .012567  	
0000001.2	 .004983  	 .012400  	
0000001.4	 .004880  	 .012259  	
0000001.6	 .004742  	 .012095  	
0000001.8	 .004610  	 .011892  	
0000002.0	 .004455  	 .011718  	
0000002.2	 .004355  	 .011559  	
0000002.4	 .004212  	 .011392  	
0000002.6	 .004084  	 .011225  	
0000002.8	 .003957  	 .011145  	
0000003.0	 .003834  	 .010979  	
0000003.2	 .003690  	 .010800  	
0000003.4	 .003614  	 .010624  	
0000003.6	 .003521  	 .010469  	
0000003.8	 .003402  	 .010293  	
0000004.0	 .003259  	 .010180  	
0000004.2	 .003126  	 .010037  	
0000004.4	 .002996  	 .009882  	
0000004.6	 .002922  	 .009703  	
0000004.8	 .002822  	 .009546  	
0000005.0	 .002705  	 .009345  	
0000005.2	 .002575  	 .009148  	
0000005.4	 .002457  	 .008985  	
0000005.6	 .002326  	 .008850  	
0000005.8	 .002248  	 .008738  	
0000006.0	 .002167  	 .008644  	
0000006.2	 .002102  	 .008523  	
0000006.4	 .001984  	 .008359  	
0000006.6	 .001885  	 .008184  	
0000006.8	 .001750  	 .008044  	
0000007.0	 .001671  	 .007915  	
0000007.2	 .001597  	 .007813  	
0000007.4	 .001523  	 .007688  	
0000007.6	 .001433  	 .007569  	
0000007.8	 .001352  	 .007448  	
0000008.0	 .001247  	 .007360  	
0000008.2	 .001197  	 .007255  	
0000008.4	 .001089  	 .007141  	
0000008.6	 .000980  	 .007009  	
0000008.8	 .000861  	 .006866  	
0000009.0	 .000770  	 .006744  	
0000009.2	 .000698  	 .006647  	
0000009.4	 .000665  	 .006549  	
0000009.6	 .000610  	 .006461  	
0000009.8	 .000525  	 .006334  	
0000010.0	 .000408  	 .006177  	
0000010.2	 .000300  	 .006068  	
0000010.4	 .000202  	 .005972  	
0000010.6	 .000150  	 .005867  	
0000010.8	 .000107  	 .005755  	
0000011.0	 .000060  	 .005631  	
0000011.2	-.000015  	 .005486  	
0000011.4	-.000105  	 .005364  	
0000011.6	-.000203  	 .005271  	
0000011.8	-.000250  	 .005174  	
0000012.0	-.000330  	 .005076  	
0000012.2	-.000393  	 .004956  	
0000012.4	-.000487  	 .004826  	
0000012.6	-.000546  	 .004730  	
0000012.8	-.000601  	 .004658  	
0000013.0	-.000640  	 .004570  	
0000013.2	-.000702  	 .004486  	
0000013.4	-.000761  	 .004356  	
0000013.6	-.000866  	 .004201  	
0000013.8	-.000969  	 .004113  	
0000014.0	-.001030  	 .004077  	
0000014.2	-.001056  	 .003977  	
0000014.4	-.001095  	 .003919  	
0000014.6	-.001123  	 .003812  	
0000014.8	-.001231  	 .003693  	
0000015.0	-.001314  	 .003562  	
0000015.2	-.001388  	 .003492  	
0000015.4	-.001410  	 .003416  	
0000015.6	-.001414  	 .003383  	
0000015.8	-.001428  	 .003257  	
0000016.0	-.001557  	 .003114  	
0000016.2	-.001648  	 .003039  	
0000016.4	-.001708  	 .003001  	
0000016.6	-.001705  	 .002934  	
0000016.8	-.001724  	 .002882  	
0000017.0	-.001757  	 .002732  	
0000017.2	-.001882  	 .002573  	
0000017.4	-.001984  	 .002437  	
0000017.6	-.002063  	 .002422  	
0000017.8	-.002094  	 .002372  	
0000018.0	-.002096  	 .002324  	
0000018.2	-.002123  	 .002203  	
0000018.4	-.002232  	 .002081  	
0000018.6	-.002310  	 .001978  	
0000018.8	-.002318  	 .001929  	
0000019.0	-.002363  	 .001890  	
0000019.2	-.002363  	 .001853  	
0000019.4	-.002389  	 .001711  	
0000019.6	-.002502  	 .001542  	
0000019.8	-.002592  	 .001406  	
0000020.0	-.002642  	 .001378  	
0000020.2	-.002659  	 .001349  	
0000020.4	-.002671  	 .001313  	
0000020.6	-.002714  	 .001225  	
0000020.8	-.002823  	 .001066  	
0000021.0	-.002890  	 .000953  	
0000021.2	-.002949  	 .000903  	
0000021.4	-.002955  	 .000854  	
0000021.6	-.002966  	 .000769  	
0000021.8	-.002995  	 .000655  	
0000022.0	-.003083  	 .000486  	
0000022.2	-.003154  	 .000431  	
0000022.4	-.003183  	 .000402  	
0000022.6	-.003195  	 .000338  	
0000022.8	-.003207  	 .000295  	
0000023.0	-.003238  	 .000214  	
0000023.2	-.003303  	 .000083  	
0000023.4	-.003347  	-.000017  	
0000023.6	-.003384  	-.000079  	
0000023.8	-.003390  	-.000148  	
0000024.0	-.003402  	-.000198  	
0000024.2	-.003424  	-.000274  	
0000024.4	-.003503  	-.000377  	
0000024.6	-.003557  	-.000448  	
0000024.8	-.003591  	-.000499  	
0000025.0	-.003598  	-.000551  	
0000025.2	-.003595  	-.000610  	
0000025.4	-.003605  	-.000682  	
0000025.6	-.003650  	-.000782  	
0000025.8	-.003713  	-.000865  	
0000026.0	-.003762  	-.000932  	
0000026.2	-.003775  	-.000992  	
0000026.4	-.003784  	-.001059  	
0000026.6	-.003812  	-.001126  	
0000026.8	-.003858  	-.001190  	
0000027.0	-.003901  	-.001279  	
0000027.2	-.003908  	-.001326  	
