Time / s	[chan  0]    	[chan  1]    	
0000000.2	-.068281  	-.129395  	
0000000.4	-.068393  	-.129473  	
0000000.6	-.068489  	-.129550  	
0000000.8	-.068534  	-.129631  	
0000001.0	-.068560  	-.129712  	
0000001.2	-.068607  	-.129839  	
0000001.4	-.068675  	-.129933  	
0000001.6	-.068782  	-.129991  	
0000001.8	-.068858  	-.130070  	
0000002.0	-.068925  	-.130143  	
0000002.2	-.068960  	-.130251  	
0000002.4	-.068999  	-.130299  	
0000002.6	-.069060  	-.130348  	
0000002.8	-.069135  	-.130413  	
0000003.0	-.069206  	-.130489  	
0000003.2	-.069235  	-.130513  	
0000003.4	-.069266  	-.130556  	
0000003.6	-.069320  	-.130627  	
0000003.8	-.069383  	-.130766  	
0000004.0	-.069466  	-.130873  	
0000004.2	-.069504  	-.130983  	
0000004.4	-.069516  	-.131075  	
0000004.6	-.069531  	-.131159  	
0000004.8	-.069578  	-.131216  	
0000005.0	-.069636  	-.131283  	
0000005.2	-.069714  	-.131357  	
0000005.4	-.069762  	-.131438  	
0000005.6	-.069783  	-.131516  	
0000005.8	-.069795  	-.131598  	
0000006.0	-.069855  	-.131655  	
0000006.2	-.069922  	-.131712  	
0000006.4	-.070015  	-.131743  	
0000006.6	-.070058  	-.131810  	
0000006.8	-.070066  	-.131836  	
0000007.0	-.070083  	-.131855  	
0000007.2	-.070136  	-.131870  	
0000007.4	-.070203  	-.131929  	
0000007.6	-.070291  	-.132015  	
0000007.8	-.070322  	-.132077  	
0000008.0	-.070348  	-.132123  	
0000008.2	-.070364  	-.132175  	
0000008.4	-.070394  	-.132228  	
0000008.6	-.070441  	-.132294  	
0000008.8	-.070488  	-.132361  	
0000009.0	-.070519  	-.132413  	
0000009.2	-.070531  	-.132499  	
0000009.4	-.070543  	-.132575  	
0000009.6	-.070581  	-.132608  	
0000009.8	-.070629  	-.132659  	
0000010.0	-.070677  	-.132685  	
0000010.2	-.070675  	-.132716  	
0000010.4	-.070682  	-.132761  	
0000010.6	-.070720  	-.132795  	
0000010.8	-.070749  	-.132833  	
0000011.0	-.070806  	-.132869  	
0000011.2	-.070866  	-.132878  	
0000011.4	-.070880  	-.132895  	
0000011.6	-.070878  	-.132887  	
0000011.8	-.070890  	-.132906  	
0000012.0	-.070935  	-.132961  	
0000012.2	-.070992  	-.133007  	
0000012.4	-.071032  	-.133024  	
0000012.6	-.071040  	-.133067  	
0000012.8	-.071028  	-.133136  	
0000013.0	-.071056  	-.133196  	
0000013.2	-.071080  	-.133274  	
0000013.4	-.071145  	-.133317  	
0000013.6	-.071176  	-.133381  	
0000013.8	-.071175  	-.133432  	
0000014.0	-.071149  	-.133467  	
0000014.2	-.071149  	-.133498  	
0000014.4	-.071178  	-.133536  	
0000014.6	-.071230  	-.133588  	
0000014.8	-.071273  	-.133651  	
0000015.0	-.071301  	-.133677  	
0000015.2	-.071304  	-.133677  	
0000015.4	-.071324  	-.133708  	
0000015.6	-.071331  	-.133722  	
0000015.8	-.071376  	-.133772  	
0000016.0	-.071400  	-.133808  	
0000016.2	-.071414  	-.133855  	
0000016.4	-.071437  	-.133887  	
0000016.6	-.071474  	-.133892  	
0000016.8	-.071523  	-.133903  	
0000017.0	-.071567  	-.133958  	
0000017.2	-.071588  	-.133984  	
0000017.4	-.071574  	-.133984  	
0000017.6	-.071560  	-.133998  	
0000017.8	-.071593  	-.134001  	
0000018.0	-.071648  	-.134018  	
0000018.2	-.071710  	-.134054  	
0000018.4	-.071723  	-.134079  	
0000018.6	-.071717  	-.134082  	
0000018.8	-.071700  	-.134096  	
0000019.0	-.071702  	-.134149  	
0000019.2	-.071741  	-.134133  	
0000019.4	-.071798  	-.134133  	
0000019.6	-.071821  	-.134180  	
0000019.8	-.071821  	-.134213  	
0000020.0	-.071803  	-.134208  	
0000020.2	-.071812  	-.134258  	
0000020.4	-.071843  	-.134307  	
0000020.6	-.071891  	-.134344  	
0000020.8	-.071919  	-.134376  	
0000021.0	-.071905  	-.134377  	
0000021.2	-.071924  	-.134377  	
0000021.4	-.071936  	-.134373  	
0000021.6	-.071979  	-.134416  	
0000021.8	-.072024  	-.134439  	
0000022.0	-.072033  	-.134445  	
0000022.2	-.072036  	-.134487  	
0000022.4	-.072034  	-.134476  	
0000022.6	-.072072  	-.134493  	
0000022.8	-.072110  	-.134554  	
0000023.0	-.072127  	-.134636  	
0000023.2	-.072124  	-.134625  	
0000023.4	-.072108  	-.134666  	
0000023.6	-.072098  	-.134712  	
0000023.8	-.072134  	-.134752  	
0000024.0	-.072170  	-.134764  	
0000024.2	-.072217  	-.134795  	
0000024.4	-.072215  	-.134861  	
0000024.6	-.072174  	-.134895  	
0000024.8	-.072175  	-.134953  	
0000025.0	-.072191  	-.135003  	
0000025.2	-.072248  	-.135041  	
0000025.4	-.072291  	-.135064  	
0000025.6	-.072306  	-.135067  	
0000025.8	-.072299  	-.135074  	
0000026.0	-.072312  	-.135021  	
0000026.2	-.072327  	-.134991  	
0000026.4	-.072365  	-.135005  	
0000026.6	-.072404  	-.135034  	
0000026.8	-.072401  	-.135067  	
0000027.0	-.072398  	-.135114  	
0000027.2	-.072391  	-.135114  	
0000027.4	-.072412  	-.135129  	
0000027.6	-.072448  	-.135141  	
0000027.8	-.072470  	-.135148  	
0000028.0	-.072468  	-.135162  	
0000028.2	-.072458  	-.135181  	
0000028.4	-.072472  	-.135208  	
0000028.6	-.072474  	-.135210  	
0000028.8	-.072520  	-.135214  	
0000029.0	-.072516  	-.135229  	
0000029.2	-.072518  	-.135262  	
0000029.4	-.072501  	-.135312  	
0000029.6	-.072513  	-.135351  	
0000029.8	-.072537  	-.135384  	
0000030.0	-.072587  	-.135391  	
0000030.2	-.072596  	-.135363  	
0000030.4	-.072587  	-.135425  	
0000030.6	-.072572  	-.135484  	
0000030.8	-.072596  	-.135484  	
0000031.0	-.072627  	-.135539  	
0000031.2	-.072678  	-.135553  	
0000031.4	-.072692  	-.135531  	
0000031.6	-.072663  	-.135522  	
0000031.8	-.072639  	-.135546  	
0000032.0	-.072642  	-.135596  	
0000032.2	-.072663  	-.135655  	
0000032.4	-.072722  	-.135689  	
0000032.6	-.072716  	-.135685  	
0000032.8	-.072715  	-.135701  	
0000033.0	-.072708  	-.135713  	
0000033.2	-.072711  	-.135735  	
0000033.4	-.072716  	-.135763  	
0000033.6	-.072746  	-.135799  	
0000033.8	-.072749  	-.135827  	
0000034.0	-.072742  	-.135849  	
0000034.2	-.072735  	-.135808  	
0000034.4	-.072761  	-.135785  	
0000034.6	-.072790  	-.135809  	
0000034.8	-.072816  	-.135868  	
0000035.0	-.072813  	-.135896  	
0000035.2	-.072790  	-.135899  	
0000035.4	-.072775  	-.135908  	
0000035.6	-.072787  	-.135942  	
0000035.8	-.072826  	-.135982  	
0000036.0	-.072849  	-.135996  	
0000036.2	-.072849  	-.136054  	
0000036.4	-.072811  	-.136057  	
0000036.6	-.072770  	-.136088  	
0000036.8	-.072766  	-.136075  	
0000037.0	-.072811  	-.136092  	
0000037.2	-.072842  	-.136130  	
0000037.4	-.072842  	-.136152  	
0000037.6	-.072814  	-.136149  	
0000037.8	-.072804  	-.136116  	
0000038.0	-.072815  	-.136147  	
0000038.2	-.072856  	-.136168  	
0000038.4	-.072875  	-.136190  	
0000038.6	-.072882  	-.136201  	
0000038.8	-.072871  	-.136218  	
0000039.0	-.072883  	-.136220  	
0000039.2	-.072904  	-.136252  	
0000039.4	-.072940  	-.136266  	
0000039.6	-.072959  	-.136287  	
0000039.8	-.072951  	-.136271  	
0000040.0	-.072930  	-.136287  	
0000040.2	-.072927  	-.136292  	
0000040.4	-.072961  	-.136288  	
0000040.6	-.072981  	-.136275  	
0000040.8	-.072992  	-.136295  	
0000041.0	-.072982  	-.136333  	
0000041.2	-.072956  	-.136357  	
0000041.4	-.072950  	-.136406  	
0000041.6	-.072963  	-.136445  	
0000041.8	-.072992  	-.136481  	
0000042.0	-.072990  	-.136516  	
0000042.2	-.072964  	-.136493  	
0000042.4	-.072930  	-.136476  	
0000042.6	-.072951  	-.136495  	
0000042.8	-.072990  	-.136516  	
0000043.0	-.073032  	-.136533  	
0000043.2	-.073038  	-.136576  	
0000043.4	-.073040  	-.136567  	
0000043.6	-.073016  	-.136545  	
0000043.8	-.073031  	-.136561  	
0000044.0	-.073054  	-.136605  	
0000044.2	-.073099  	-.136588  	
0000044.4	-.073097  	-.136530  	
0000044.6	-.073071  	-.136531  	
0000044.8	-.073059  	-.136514  	
0000045.0	-.073056  	-.136498  	
0000045.2	-.073080  	-.136499  	
0000045.4	-.073119  	-.136542  	
0000045.6	-.073128  	-.136579  	
0000045.8	-.073090  	-.136600  	
0000046.0	-.073056  	-.136590  	
0000046.2	-.073061  	-.136569  	
0000046.4	-.073075  	-.136600  	
0000046.6	-.073102  	-.136607  	
0000046.8	-.073121  	-.136610  	
0000047.0	-.073128  	-.136635  	
0000047.2	-.073128  	-.136626  	
0000047.4	-.073140  	-.136645  	
0000047.6	-.073164  	-.136709  	
0000047.8	-.073164  	-.136757  	
0000048.0	-.073162  	-.136766  	
0000048.2	-.073145  	-.136765  	
0000048.4	-.073135  	-.136776  	
0000048.6	-.073185  	-.136800  	
0000048.8	-.073224  	-.136827  	
0000049.0	-.073249  	-.136819  	
0000049.2	-.073240  	-.136843  	
0000049.4	-.073204  	-.136834  	
0000049.6	-.073178  	-.136819  	
0000049.8	-.073183  	-.136824  	
0000050.0	-.073219  	-.136855  	
0000050.2	-.073252  	-.136891  	
0000050.4	-.073257  	-.136932  	
0000050.6	-.073237  	-.136922  	
0000050.8	-.073219  	-.136908  	
0000051.0	-.073226  	-.136926  	
0000051.2	-.073252  	-.136963  	
0000051.4	-.073274  	-.136946  	
0000051.6	-.073264  	-.136939  	
0000051.8	-.073242  	-.136943  	
0000052.0	-.073243  	-.136929  	
0000052.2	-.073245  	-.136932  	
0000052.4	-.073267  	-.136972  	
0000052.6	-.073287  	-.136998  	
0000052.8	-.073271  	-.136974  	
0000053.0	-.073255  	-.136988  	
0000053.2	-.073254  	-.136974  	
0000053.4	-.073259  	-.136889  	
0000053.6	-.073290  	-.136922  	
0000053.8	-.073300  	-.136972  	
0000054.0	-.073285  	-.136981  	
0000054.2	-.073274  	-.136983  	
0000054.4	-.073280  	-.136979  	
0000054.6	-.073309  	-.136984  	
0000054.8	-.073343  	-.136998  	
0000055.0	-.073341  	-.136974  	
0000055.2	-.073309  	-.136912  	
0000055.4	-.073279  	-.136910  	
0000055.6	-.073254  	-.136948  	
0000055.8	-.073261  	-.136955  	
0000056.0	-.073317  	-.136963  	
0000056.2	-.073326  	-.136960  	
0000056.4	-.073328  	-.136940  	
0000056.6	-.073298  	-.136919  	
0000056.8	-.073293  	-.136933  	
0000057.0	-.073290  	-.136974  	
0000057.2	-.073326  	-.136981  	
0000057.4	-.073338  	-.137003  	
0000057.6	-.073342  	-.136988  	
0000057.8	-.073341  	-.136998  	
0000058.0	-.073364  	-.136986  	
0000058.2	-.073388  	-.137032  	
0000058.4	-.073412  	-.137036  	
0000058.6	-.073404  	-.137064  	
0000058.8	-.073360  	-.137048  	
0000059.0	-.073333  	-.137038  	
0000059.2	-.073349  	-.137103  	
0000059.4	-.073376  	-.137170  	
0000059.6	-.073407  	-.137189  	
0000059.8	-.073398  	-.137084  	
0000060.0	-.073357  	-.137084  	
0000060.2	-.073324  	-.137146  	
0000060.4	-.073335  	-.137162  	
0000060.6	-.073360  	-.137165  	
0000060.8	-.073398  	-.137144  	
0000061.0	-.073404  	-.137143  	
0000061.2	-.073385  	-.137139  	
0000061.4	-.073374  	-.137187  	
0000061.6	-.073390  	-.137196  	
0000061.8	-.073411  	-.137193  	
0000062.0	-.073460  	-.137231  	
0000062.2	-.073467  	-.137232  	
0000062.4	-.073423  	-.137230  	
0000062.6	-.073400  	-.137243  	
0000062.8	-.073403  	-.137267  	
0000063.0	-.073436  	-.137251  	
0000063.2	-.073448  	-.137241  	
0000063.4	-.073447  	-.137253  	
0000063.6	-.073422  	-.137246  	
0000063.8	-.073416  	-.137187  	
0000064.0	-.073419  	-.137157  	
0000064.2	-.073419  	-.137168  	
0000064.4	-.073441  	-.137194  	
0000064.6	-.073423  	-.137196  	
0000064.8	-.073407  	-.137210  	
0000065.0	-.073411  	-.137241  	
0000065.2	-.073428  	-.137248  	
0000065.4	-.073465  	-.137244  	
0000065.6	-.073486  	-.137265  	
0000065.8	-.073442  	-.137267  	
0000066.0	-.073410  	-.137277  	
0000066.2	-.073407  	-.137296  	
0000066.4	-.073428  	-.137330  	
0000066.6	-.073454  	-.137344  	
0000066.8	-.073471  	-.137346  	
0000067.0	-.073445  	-.137317  	
0000067.2	-.073426  	-.137250  	
0000067.4	-.073431  	-.137230  	
0000067.6	-.073442  	-.137251  	
0000067.8	-.073476  	-.137270  	
0000068.0	-.073472  	-.137256  	
0000068.2	-.073471  	-.137196  	
0000068.4	-.073438  	-.137182  	
0000068.6	-.073438  	-.137229  	
0000068.8	-.073457  	-.137258  	
0000069.0	-.073476  	-.137272  	
0000069.2	-.073493  	-.137298  	
0000069.4	-.073485  	-.137322  	
0000069.6	-.073442  	-.137317  	
0000069.8	-.073442  	-.137311  	
0000070.0	-.073457  	-.137325  	
0000070.2	-.073497  	-.137342  	
0000070.4	-.073488  	-.137363  	
0000070.6	-.073460  	-.137358  	
0000070.8	-.073441  	-.137382  	
0000071.0	-.073448  	-.137420  	
0000071.2	-.073473  	-.137449  	
0000071.4	-.073481  	-.137463  	
0000071.6	-.073479  	-.137461  	
0000071.8	-.073455  	-.137467  	
0000072.0	-.073429  	-.137430  	
0000072.2	-.073436  	-.137384  	
0000072.4	-.073453  	-.137382  	
0000072.6	-.073474  	-.137398  	
0000072.8	-.073479  	-.137361  	
0000073.0	-.073453  	-.137358  	
0000073.2	-.073424  	-.137396  	
0000073.4	-.073433  	-.137430  	
0000073.6	-.073450  	-.137463  	
0000073.8	-.073457  	-.137503  	
0000074.0	-.073460  	-.137525  	
0000074.2	-.073462  	-.137482  	
0000074.4	-.073441  	-.137467  	
0000074.6	-.073452  	-.137470  	
0000074.8	-.073462  	-.137466  	
0000075.0	-.073473  	-.137449  	
0000075.2	-.073464  	-.137444  	
0000075.4	-.073428  	-.137441  	
0000075.6	-.073422  	-.137416  	
0000075.8	-.073431  	-.137427  	
0000076.0	-.073447  	-.137446  	
0000076.2	-.073469  	-.137442  	
0000076.4	-.073464  	-.137446  	
0000076.6	-.073421  	-.137439  	
0000076.8	-.073395  	-.137463  	
0000077.0	-.073395  	-.137525  	
0000077.2	-.073423  	-.137580  	
0000077.4	-.073433  	-.137608  	
0000077.6	-.073445  	-.137556  	
0000077.8	-.073388  	-.137527  	
0000078.0	-.073383  	-.137513  	
0000078.2	-.073405  	-.137515  	
0000078.4	-.073419  	-.137541  	
0000078.6	-.073424  	-.137620  	
0000078.8	-.073403  	-.137665  	
0000079.0	-.073378  	-.137677  	
0000079.2	-.073376  	-.137702  	
0000079.4	-.073393  	-.137745  	
0000079.6	-.073407  	-.137768  	
0000079.8	-.073421  	-.137764  	
0000080.0	-.073412  	-.137773  	
0000080.2	-.073386  	-.137775  	
0000080.4	-.073376  	-.137761  	
0000080.6	-.073385  	-.137742  	
0000080.8	-.073416  	-.137718  	
0000081.0	-.073434  	-.137752  	
0000081.2	-.073404  	-.137783  	
0000081.4	-.073379  	-.137804  	
0000081.6	-.073385  	-.137787  	
0000081.8	-.073393  	-.137777  	
0000082.0	-.073395  	-.137735  	
0000082.2	-.073402  	-.137699  	
0000082.4	-.073385  	-.137697  	
0000082.6	-.073376  	-.137699  	
0000082.8	-.073381  	-.137649  	
0000083.0	-.073386  	-.137622  	
0000083.2	-.073404  	-.137618  	
0000083.4	-.073385  	-.137558  	
0000083.6	-.073345  	-.137558  	
0000083.8	-.073333  	-.137568  	
0000084.0	-.073355  	-.137577  	
0000084.2	-.073383  	-.137591  	
0000084.4	-.073414  	-.137610  	
0000084.6	-.073417  	-.137641  	
0000084.8	-.073373  	-.137647  	
0000085.0	-.073347  	-.137659  	
0000085.2	-.073354  	-.137684  	
0000085.4	-.073369  	-.137697  	
0000085.6	-.073400  	-.137675  	
0000085.8	-.073407  	-.137690  	
