Time / s	[chan  0]    	[chan  1]    	
0000000.2	-.154951  	-.139607  	
0000000.4	-.155020  	-.139675  	
0000000.6	-.155059  	-.139711  	
0000000.8	-.155101  	-.139790  	
0000001.0	-.155187  	-.139876  	
0000001.2	-.155252  	-.140030  	
0000001.4	-.155357  	-.140148  	
0000001.6	-.155428  	-.140255  	
0000001.8	-.155478  	-.140331  	
0000002.0	-.155528  	-.140421  	
0000002.2	-.155561  	-.140432  	
0000002.4	-.155624  	-.140402  	
0000002.6	-.155702  	-.140544  	
0000002.8	-.155788  	-.140586  	
0000003.0	-.155833  	-.140691  	
0000003.2	-.155881  	-.140715  	
0000003.4	-.155953  	-.140758  	
0000003.6	-.156028  	-.140873  	
0000003.8	-.156098  	-.140934  	
0000004.0	-.156181  	-.140980  	
0000004.2	-.156222  	-.141035  	
0000004.4	-.156243  	-.141097  	
0000004.6	-.156303  	-.141206  	
0000004.8	-.156367  	-.141316  	
0000005.0	-.156439  	-.141411  	
0000005.2	-.156515  	-.141454  	
0000005.4	-.156599  	-.141456  	
0000005.6	-.156658  	-.141430  	
0000005.8	-.156713  	-.141482  	
0000006.0	-.156770  	-.141483  	
0000006.2	-.156822  	-.141521  	
0000006.4	-.156899  	-.141544  	
0000006.6	-.156963  	-.141583  	
0000006.8	-.157009  	-.141540  	
0000007.0	-.157063  	-.141550  	
0000007.2	-.157144  	-.141604  	
0000007.4	-.157219  	-.141500  	
0000007.6	-.157299  	-.141540  	
0000007.8	-.157361  	-.141709  	
0000008.0	-.157366  	-.141898  	
0000008.2	-.157425  	-.142057  	
0000008.4	-.157480  	-.142148  	
0000008.6	-.157555  	-.142293  	
0000008.8	-.157652  	-.142351  	
0000009.0	-.157724  	-.142343  	
0000009.2	-.157778  	-.142169  	
0000009.4	-.157821  	-.142226  	
0000009.6	-.157862  	-.142272  	
0000009.8	-.157903  	-.142294  	
0000010.0	-.157952  	-.142351  	
0000010.2	-.158044  	-.142310  	
0000010.4	-.158091  	-.142475  	
0000010.6	-.158151  	-.142484  	
0000010.8	-.158210  	-.142481  	
0000011.0	-.158284  	-.142613  	
0000011.2	-.158363  	-.142727  	
0000011.4	-.158424  	-.142810  	
0000011.6	-.158436  	-.142844  	
0000011.8	-.158472  	-.142887  	
0000012.0	-.158511  	-.142949  	
0000012.2	-.158603  	-.143049  	
0000012.4	-.158703  	-.143137  	
0000012.6	-.158796  	-.143073  	
0000012.8	-.158849  	-.142956  	
0000013.0	-.158851  	-.143054  	
