Time / s	[chan  0]    	[chan  1]    	
0000000.2	-.091808  	-.138784  	
0000000.4	-.091815  	-.138810  	
0000000.6	-.091837  	-.138786  	
0000000.8	-.091820  	-.138775  	
0000001.0	-.091811  	-.138755  	
0000001.2	-.091782  	-.138758  	
0000001.4	-.091767  	-.138770  	
0000001.6	-.091794  	-.138765  	
0000001.8	-.091817  	-.138779  	
0000002.0	-.091847  	-.138808  	
0000002.2	-.091903  	-.138807  	
0000002.4	-.091889  	-.138796  	
0000002.6	-.091875  	-.138796  	
0000002.8	-.091916  	-.138798  	
0000003.0	-.091916  	-.138786  	
0000003.2	-.091915  	-.138803  	
0000003.4	-.091980  	-.138817  	
0000003.6	-.092010  	-.138844  	
0000003.8	-.091980  	-.138855  	
0000004.0	-.091973  	-.138867  	
0000004.2	-.092016  	-.138862  	
0000004.4	-.092053  	-.138853  	
0000004.6	-.092130  	-.138846  	
0000004.8	-.092127  	-.138850  	
0000005.0	-.092114  	-.138836  	
0000005.2	-.092142  	-.138869  	
0000005.4	-.092211  	-.138888  	
0000005.6	-.092258  	-.138907  	
0000005.8	-.092342  	-.138965  	
0000006.0	-.092435  	-.138962  	
0000006.2	-.092393  	-.138910  	
0000006.4	-.092347  	-.138889  	
0000006.6	-.092371  	-.138884  	
0000006.8	-.092380  	-.138898  	
0000007.0	-.092393  	-.138927  	
0000007.2	-.092381  	-.138934  	
0000007.4	-.092314  	-.138922  	
0000007.6	-.092233  	-.138927  	
0000007.8	-.092228  	-.138896  	
0000008.0	-.092211  	-.138872  	
0000008.2	-.092209  	-.138891  	
0000008.4	-.092180  	-.138922  	
0000008.6	-.092090  	-.138939  	
0000008.8	-.092049  	-.138953  	
0000009.0	-.092087  	-.138953  	
0000009.2	-.092111  	-.138963  	
0000009.4	-.092097  	-.138965  	
0000009.6	-.092075  	-.138953  	
0000009.8	-.092025  	-.138912  	
0000010.0	-.091949  	-.138912  	
0000010.2	-.091934  	-.138891  	
0000010.4	-.091894  	-.138879  	
0000010.6	-.091904  	-.138917  	
0000010.8	-.091923  	-.138941  	
0000011.0	-.091913  	-.138941  	
0000011.2	-.091877  	-.138958  	
0000011.4	-.091901  	-.138967  	
0000011.6	-.091882  	-.138953  	
0000011.8	-.091899  	-.138944  	
0000012.0	-.091897  	-.138948  	
0000012.2	-.091953  	-.138977  	
0000012.4	-.091915  	-.138982  	
0000012.6	-.091911  	-.138991  	
0000012.8	-.091959  	-.138987  	
0000013.0	-.091968  	-.139005  	
0000013.2	-.092002  	-.138996  	
0000013.4	-.091999  	-.138996  	
0000013.6	-.091975  	-.138979  	
0000013.8	-.091975  	-.138991  	
0000014.0	-.091994  	-.139006  	
0000014.2	-.091996  	-.139012  	
0000014.4	-.092066  	-.139056  	
0000014.6	-.092154  	-.139086  	
0000014.8	-.092116  	-.139082  	
0000015.0	-.092097  	-.139089  	
0000015.2	-.092103  	-.139086  	
0000015.4	-.092097  	-.139096  	
0000015.6	-.092101  	-.139111  	
0000015.8	-.092182  	-.139122  	
0000016.0	-.092154  	-.139111  	
0000016.2	-.092149  	-.139115  	
0000016.4	-.092147  	-.139101  	
0000016.6	-.092127  	-.139127  	
0000016.8	-.092151  	-.139151  	
0000017.0	-.092178  	-.139163  	
0000017.2	-.092133  	-.139174  	
0000017.4	-.092120  	-.139179  	
0000017.6	-.092152  	-.139186  	
0000017.8	-.092211  	-.139196  	
0000018.0	-.092237  	-.139198  	
0000018.2	-.092294  	-.139194  	
0000018.4	-.092223  	-.139197  	
0000018.6	-.092204  	-.139177  	
0000018.8	-.092237  	-.139186  	
0000019.0	-.092235  	-.139185  	
0000019.2	-.092247  	-.139189  	
0000019.4	-.092275  	-.139191  	
0000019.6	-.092232  	-.139191  	
0000019.8	-.092192  	-.139177  	
0000020.0	-.092151  	-.139163  	
0000020.2	-.092159  	-.139177  	
0000020.4	-.092163  	-.139186  	
0000020.6	-.092192  	-.139194  	
0000020.8	-.092189  	-.139201  	
0000021.0	-.092165  	-.139170  	
0000021.2	-.092195  	-.139179  	
0000021.4	-.092176  	-.139151  	
0000021.6	-.092137  	-.139151  	
0000021.8	-.092149  	-.139167  	
0000022.0	-.092161  	-.139201  	
0000022.2	-.092099  	-.139199  	
0000022.4	-.092078  	-.139211  	
0000022.6	-.092108  	-.139222  	
0000022.8	-.092130  	-.139232  	
0000023.0	-.092128  	-.139210  	
0000023.2	-.092120  	-.139203  	
0000023.4	-.092044  	-.139198  	
0000023.6	-.092047  	-.139220  	
0000023.8	-.092083  	-.139251  	
0000024.0	-.092113  	-.139282  	
0000024.2	-.092190  	-.139318  	
0000024.4	-.092282  	-.139351  	
0000024.6	-.092218  	-.139332  	
0000024.8	-.092123  	-.139311  	
0000025.0	-.092087  	-.139287  	
0000025.2	-.092056  	-.139282  	
0000025.4	-.092018  	-.139285  	
0000025.6	-.092027  	-.139306  	
0000025.8	-.091975  	-.139349  	
0000026.0	-.091944  	-.139351  	
0000026.2	-.091934  	-.139315  	
