Time / s	[chan  0]    	[chan  1]    	
0000000.2	 .123572  	-.130716  	
0000000.4	 .123601  	-.130695  	
0000000.6	 .123618  	-.130649  	
0000000.8	 .123600  	-.130675  	
0000001.0	 .123598  	-.130680  	
0000001.2	 .123596  	-.130696  	
0000001.4	 .123580  	-.130670  	
0000001.6	 .123603  	-.130637  	
0000001.8	 .123619  	-.130601  	
0000002.0	 .123632  	-.130625  	
0000002.2	 .123600  	-.130652  	
0000002.4	 .123591  	-.130623  	
0000002.6	 .123572  	-.130591  	
0000002.8	 .123589  	-.130561  	
0000003.0	 .123596  	-.130546  	
0000003.2	 .123591  	-.130541  	
0000003.4	 .123587  	-.130525  	
0000003.6	 .123593  	-.130525  	
0000003.8	 .123572  	-.130539  	
0000004.0	 .123579  	-.130498  	
0000004.2	 .123598  	-.130489  	
0000004.4	 .123577  	-.130477  	
0000004.6	 .123553  	-.130525  	
0000004.8	 .123534  	-.130513  	
0000005.0	 .123529  	-.130517  	
0000005.2	 .123522  	-.130509  	
0000005.4	 .123534  	-.130497  	
0000005.6	 .123524  	-.130510  	
0000005.8	 .123491  	-.130535  	
0000006.0	 .123451  	-.130565  	
0000006.2	 .123419  	-.130561  	
0000006.4	 .123426  	-.130537  	
0000006.6	 .123448  	-.130527  	
0000006.8	 .123425  	-.130535  	
0000007.0	 .123410  	-.130525  	
0000007.2	 .123419  	-.130542  	
0000007.4	 .123410  	-.130554  	
0000007.6	 .123386  	-.130565  	
0000007.8	 .123386  	-.130523  	
0000008.0	 .123395  	-.130520  	
0000008.2	 .123371  	-.130530  	
0000008.4	 .123336  	-.130573  	
0000008.6	 .123339  	-.130551  	
0000008.8	 .123350  	-.130532  	
0000009.0	 .123355  	-.130544  	
0000009.2	 .123364  	-.130541  	
0000009.4	 .123365  	-.130544  	
0000009.6	 .123355  	-.130540  	
0000009.8	 .123324  	-.130566  	
0000010.0	 .123321  	-.130551  	
0000010.2	 .123353  	-.130529  	
0000010.4	 .123363  	-.130509  	
0000010.6	 .123355  	-.130544  	
0000010.8	 .123345  	-.130568  	
0000011.0	 .123343  	-.130556  	
0000011.2	 .123332  	-.130513  	
0000011.4	 .123341  	-.130498  	
0000011.6	 .123364  	-.130455  	
0000011.8	 .123384  	-.130442  	
0000012.0	 .123364  	-.130472  	
0000012.2	 .123326  	-.130513  	
0000012.4	 .123317  	-.130499  	
0000012.6	 .123341  	-.130451  	
0000012.8	 .123322  	-.130427  	
0000013.0	 .123320  	-.130418  	
0000013.2	 .123298  	-.130418  	
0000013.4	 .123286  	-.130425  	
0000013.6	 .123286  	-.130453  	
0000013.8	 .123317  	-.130420  	
0000014.0	 .123357  	-.130377  	
0000014.2	 .123355  	-.130361  	
0000014.4	 .123314  	-.130363  	
0000014.6	 .123295  	-.130354  	
0000014.8	 .123301  	-.130380  	
0000015.0	 .123286  	-.130368  	
0000015.2	 .123302  	-.130342  	
0000015.4	 .123322  	-.130308  	
0000015.6	 .123339  	-.130308  	
0000015.8	 .123319  	-.130339  	
0000016.0	 .123301  	-.130336  	
0000016.2	 .123284  	-.130327  	
0000016.4	 .123289  	-.130324  	
0000016.6	 .123277  	-.130344  	
0000016.8	 .123255  	-.130354  	
0000017.0	 .123234  	-.130363  	
0000017.2	 .123226  	-.130385  	
0000017.4	 .123212  	-.130389  	
0000017.6	 .123226  	-.130342  	
0000017.8	 .123250  	-.130313  	
0000018.0	 .123246  	-.130339  	
0000018.2	 .123224  	-.130377  	
0000018.4	 .123208  	-.130380  	
0000018.6	 .123228  	-.130358  	
0000018.8	 .123241  	-.130339  	
0000019.0	 .123241  	-.130337  	
0000019.2	 .123228  	-.130334  	
0000019.4	 .123212  	-.130354  	
0000019.6	 .123190  	-.130387  	
0000019.8	 .123198  	-.130370  	
0000020.0	 .123217  	-.130315  	
0000020.2	 .123255  	-.130289  	
0000020.4	 .123243  	-.130337  	
0000020.6	 .123224  	-.130360  	
0000020.8	 .123193  	-.130382  	
0000021.0	 .123179  	-.130387  	
0000021.2	 .123165  	-.130396  	
0000021.4	 .123190  	-.130361  	
0000021.6	 .123219  	-.130342  	
0000021.8	 .123212  	-.130327  	
0000022.0	 .123200  	-.130327  	
0000022.2	 .123186  	-.130318  	
0000022.4	 .123196  	-.130313  	
0000022.6	 .123196  	-.130317  	
0000022.8	 .123195  	-.130293  	
0000023.0	 .123179  	-.130310  	
0000023.2	 .123171  	-.130308  	
0000023.4	 .123143  	-.130308  	
0000023.6	 .123150  	-.130272  	
0000023.8	 .123200  	-.130265  	
0000024.0	 .123197  	-.130301  	
0000024.2	 .123181  	-.130355  	
0000024.4	 .123160  	-.130372  	
0000024.6	 .123150  	-.130399  	
0000024.8	 .123141  	-.130406  	
0000025.0	 .123155  	-.130348  	
0000025.2	 .123181  	-.130318  	
0000025.4	 .123181  	-.130301  	
0000025.6	 .123155  	-.130315  	
0000025.8	 .123148  	-.130293  	
0000026.0	 .123159  	-.130251  	
0000026.2	 .123190  	-.130232  	
0000026.4	 .123181  	-.130261  	
0000026.6	 .123179  	-.130267  	
0000026.8	 .123191  	-.130250  	
0000027.0	 .123186  	-.130287  	
0000027.2	 .123147  	-.130298  	
0000027.4	 .123167  	-.130242  	
0000027.6	 .123207  	-.130199  	
